"","code2010","code2013","country","nuts1","nuts2","nuts3","change","nuts_level","countries","sorting_order_2010","sorting_order_2013"
"1","BE1","BE1","BELGIQUE-BELGIË","RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST",NA,NA,NA,1,1,2,2
"2","BE2","BE2","BELGIQUE-BELGIË","VLAAMS GEWEST","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",NA,NA,1,1,5,5
"3","BE3","BE3","BELGIQUE-BELGIË","RÉGION WALLONNE","Prov. West-Vlaanderen",NA,NA,1,1,33,33
"4","BEZ","BEZ","BELGIQUE-BELGIË","EXTRA-REGIO NUTS 1","Prov. Namur",NA,NA,1,1,60,60
"5","BG3","BG3","<U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","<U+0421><U+0415><U+0412><U+0415><U+0420><U+041D><U+0410> <U+0418> <U+042E><U+0413><U+041E><U+0418><U+0417><U+0422><U+041E><U+0427><U+041D><U+0410> <U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","Extra-Regio NUTS 2",NA,NA,1,2,64,64
"6","BG4","BG4","<U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","<U+042E><U+0413><U+041E><U+0417><U+0410><U+041F><U+0410><U+0414><U+041D><U+0410> <U+0418> <U+042E><U+0416><U+041D><U+0410> <U+0426><U+0415><U+041D><U+0422><U+0420><U+0410><U+041B><U+041D><U+0410> <U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","<U+042E><U+0433><U+043E><U+0438><U+0437><U+0442><U+043E><U+0447><U+0435><U+043D>",NA,NA,1,2,87,87
"7","BGZ","BGZ","<U+0411><U+042A><U+041B><U+0413><U+0410><U+0420><U+0418><U+042F>","EXTRA-REGIO NUTS 1","<U+042E><U+0436><U+0435><U+043D> <U+0446><U+0435><U+043D><U+0442><U+0440><U+0430><U+043B><U+0435><U+043D>",NA,NA,1,2,100,100
"8","CZ0","CZ0","CESKÁ REPUBLIKA","CESKÁ REPUBLIKA","Extra-Regio NUTS 2",NA,NA,1,3,104,104
"9","CZZ","CZZ","CESKÁ REPUBLIKA","EXTRA-REGIO NUTS 1","Moravskoslezsko",NA,NA,1,3,127,127
"10","DK0","DK0","DANMARK","DANMARK","Extra-Regio NUTS 2",NA,NA,1,4,131,131
"11","DKZ","DKZ","DANMARK","EXTRA-REGIO NUTS 1","Nordjylland",NA,NA,1,4,148,148
"12","DE1","DE1","DEUTSCHLAND","BADEN-WÜRTTEMBERG","Extra-Regio NUTS 2",NA,NA,1,5,152,152
"13","DE2","DE2","DEUTSCHLAND","BAYERN","Tübingen",NA,NA,1,5,201,201
"14","DE3","DE3","DEUTSCHLAND","BERLIN","Schwaben",NA,NA,1,5,305,305
"15","DE4","DE4","DEUTSCHLAND","BRANDENBURG","Berlin",NA,NA,1,5,308,308
"16","DE5","DE5","DEUTSCHLAND","BREMEN","Brandenburg",NA,NA,1,5,328,328
"17","DE6","DE6","DEUTSCHLAND","HAMBURG","Bremen",NA,NA,1,5,332,332
"18","DE7","DE7","DEUTSCHLAND","HESSEN","Hamburg",NA,NA,1,5,335,335
"19","DE8","DE8","DEUTSCHLAND","MECKLENBURG-VORPOMMERN","Kassel",NA,NA,1,5,365,365
"20","DE9","DE9","DEUTSCHLAND","NIEDERSACHSEN","Mecklenburg-Vorpommern",NA,NA,1,5,385,375
"21","DEA","DEA","DEUTSCHLAND","NORDRHEIN-WESTFALEN","Weser-Ems",NA,NA,1,5,436,426
"22","DEB","DEB","DEUTSCHLAND","RHEINLAND-PFALZ","Arnsberg",NA,NA,1,5,495,485
"23","DEC","DEC","DEUTSCHLAND","SAARLAND","Rheinhessen-Pfalz",NA,NA,1,5,535,525
"24","DED","DED","DEUTSCHLAND","SACHSEN","Saarland",NA,NA,1,5,543,533
"25","DEE","DEE","DEUTSCHLAND","SACHSEN-ANHALT","Leipzig",NA,NA,1,5,560,550
"26","DEF","DEF","DEUTSCHLAND","SCHLESWIG-HOLSTEIN","Sachsen-Anhalt",NA,NA,1,5,576,566
"27","DEG","DEG","DEUTSCHLAND","THÜRINGEN","Schleswig-Holstein",NA,NA,1,5,593,583
"28","DEZ","DEZ","DEUTSCHLAND","EXTRA-REGIO NUTS 1","Thüringen",NA,NA,1,5,618,608
"29","EE0","EE0","EESTI","EESTI","Extra-Regio NUTS 2",NA,NA,1,6,622,612
"30","EEZ","EEZ","EESTI","EXTRA-REGIO NUTS 1","Eesti",NA,NA,1,6,629,619
"31","IE0","IE0","ÉIRE / IRELAND","IRELAND","Extra-Regio NUTS 2",NA,NA,1,7,633,623
"32","IEZ","IEZ","ÉIRE / IRELAND","EXTRA-REGIO NUTS 1","Southern and Eastern",NA,NA,1,7,644,634
"33","EL1",NA,"<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","Extra-Regio NUTS 2",NA,"Boundary shift",1,8,648,NA
"34",NA,"EL5","<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","Extra-Regio NUTS 2",NA,"New region",1,8,NA,660
"35","EL2",NA,"<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+0389>pe<U+03B9><U+03C1><U+03BF><U+03C2>",NA,"Boundary shift",1,8,673,NA
"36",NA,"EL6","<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","<U+0389>pe<U+03B9><U+03C1><U+03BF><U+03C2>",NA,"New region",1,8,NA,683
"37","EL3","EL3","<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","ATTIK<U+0397>","<U+03A0>e<U+03BB><U+03BF>p<U+03CC><U+03BD><U+03BD><U+03B7>s<U+03BF><U+03C2>",NA,NA,1,8,700,638
"38","EL4","EL4","<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","N<U+0397>S<U+0399><U+0391> <U+0391><U+0399>G<U+0391><U+0399><U+039F><U+03A5>, K<U+03A1><U+0397><U+03A4><U+0397>","Att<U+03B9><U+03BA><U+03AE>",NA,NA,1,8,703,647
"39","ELZ","ELZ","<U+0395><U+039B><U+039B><U+0391><U+0394><U+0391>","EXTRA-REGIO NUTS 1","<U+039A><U+03C1><U+03AE>t<U+03B7>",NA,NA,1,8,716,707
"40","ES1","ES1","ESPAÑA","NOROESTE","Extra-Regio NUTS 2",NA,NA,1,9,720,711
"41","ES2","ES2","ESPAÑA","NORESTE","Cantabria",NA,NA,1,9,730,721
"42","ES3","ES3","ESPAÑA","COMUNIDAD DE MADRID","Aragón",NA,NA,1,9,743,734
"43","ES4","ES4","ESPAÑA","CENTRO (ES)","Comunidad de Madrid",NA,NA,1,9,746,737
"44","ES5","ES5","ESPAÑA","ESTE","Extremadura",NA,NA,1,9,766,757
"45","ES6","ES6","ESPAÑA","SUR","Illes Balears",NA,NA,1,9,780,771
"46","ES7","ES7","ESPAÑA","CANARIAS","Ciudad Autónoma de Melilla",NA,NA,1,9,796,787
"47","ESZ","ESZ","ESPAÑA","EXTRA-REGIO NUTS 1","Canarias",NA,NA,1,9,805,796
"48","FR1","FR1","FRANCE","ÎLE DE FRANCE","Extra-Regio NUTS 2",NA,NA,1,10,809,800
"49","FR2","FR2","FRANCE","BASSIN PARISIEN","Île de France",NA,NA,1,10,819,810
"50","FR3","FR3","FRANCE","NORD - PAS-DE-CALAIS","Bourgogne",NA,NA,1,10,848,839
"51","FR4","FR4","FRANCE","EST","Nord - Pas-de-Calais",NA,NA,1,10,852,843
"52","FR5","FR5","FRANCE","OUEST","Franche-Comté",NA,NA,1,10,866,857
"53","FR6","FR6","FRANCE","SUD-OUEST","Poitou-Charentes",NA,NA,1,10,883,874
"54","FR7","FR7","FRANCE","CENTRE-EST","Limousin",NA,NA,1,10,903,894
"55","FR8","FR8","FRANCE","MÉDITERRANÉE","Auvergne",NA,NA,1,10,918,909
"56","FR9",NA,"FRANCE","DÉPARTEMENTS D'OUTRE-MER","Corse",NA,"Boundary shift",1,10,935,NA
"57",NA,"FRA","FRANCE","DÉPARTEMENTS D'OUTRE-MER","Corse",NA,"New region",1,10,NA,926
"58","FRZ","FRZ","FRANCE","EXTRA-REGIO NUTS 1","Mayotte",NA,NA,1,10,944,937
"59","HR0","HR0","HRVATSKA","HRVATSKA","Extra-Regio NUTS 2",NA,NA,1,11,948,941
"60","HRZ","HRZ","HRVATSKA","EXTRA-REGIO NUTS 1","Kontinentalna Hrvatska",NA,NA,1,11,972,965
"61","ITC","ITC","ITALIA","NORD-OVEST","Extra-Regio NUTS 2",NA,NA,1,12,976,969
"62","ITF","ITF","ITALIA","SUD","Lombardia",NA,NA,1,12,1006,999
"63","ITG","ITG","ITALIA","ISOLE","Calabria",NA,NA,1,12,1037,1030
"64","ITH","ITH","ITALIA","NORD-EST","Sardegna",NA,NA,1,12,1057,1050
"65","ITI","ITI","ITALIA","CENTRO (IT)","Emilia-Romagna",NA,NA,1,12,1085,1078
"66","ITZ","ITZ","ITALIA","EXTRA-REGIO NUTS 1","Lazio",NA,NA,1,12,1112,1105
"67","CY0","CY0","<U+039A><U+03A5><U+03A0><U+03A1><U+039F>S","<U+039A><U+03A5><U+03A0><U+03A1><U+039F>S","Extra-Regio NUTS 2",NA,NA,1,13,1116,1109
"68","CYZ","CYZ","<U+039A><U+03A5><U+03A0><U+03A1><U+039F>S","EXTRA-REGIO NUTS 1","<U+039A><U+03CD>p<U+03C1><U+03BF><U+03C2>",NA,NA,1,13,1119,1112
"69","LV0","LV0","LATVIJA","LATVIJA","Extra-Regio NUTS 2",NA,NA,1,14,1123,1116
"70","LVZ","LVZ","LATVIJA","EXTRA-REGIO NUTS 1","Latvija",NA,NA,1,14,1131,1124
"71","LT0","LT0","LIETUVA","LIETUVA","Extra-Regio NUTS 2",NA,NA,1,15,1135,1128
"72","LTZ","LTZ","LIETUVA","EXTRA-REGIO NUTS 1","Lietuva",NA,NA,1,15,1147,1140
"73","LU0","LU0","LUXEMBOURG","LUXEMBOURG","Extra-Regio NUTS 2",NA,NA,1,16,1151,1144
"74","LUZ","LUZ","LUXEMBOURG","EXTRA-REGIO NUTS 1","Luxembourg",NA,NA,1,16,1154,1147
"75","HU1","HU1","MAGYARORSZÁG","KÖZÉP-MAGYARORSZÁG","Extra-Regio NUTS 2",NA,NA,1,17,1158,1151
"76","HU2","HU2","MAGYARORSZÁG","DUNÁNTÚL","Közép-Magyarország",NA,NA,1,17,1162,1155
"77","HU3","HU3","MAGYARORSZÁG","ALFÖLD ÉS ÉSZAK","Dél-Dunántúl",NA,NA,1,17,1175,1168
"78","HUZ","HUZ","MAGYARORSZÁG","EXTRA-REGIO NUTS 1","Dél-Alföld",NA,NA,1,17,1188,1181
"79","MT0","MT0","MALTA","MALTA","Extra-Regio NUTS 2",NA,NA,1,18,1192,1185
"80","MTZ","MTZ","MALTA","EXTRA-REGIO NUTS 1","Malta",NA,NA,1,18,1196,1189
"81","NL1","NL1","NEDERLAND","NOORD-NEDERLAND","Extra-Regio NUTS 2",NA,NA,1,19,1200,1193
"82","NL2","NL2","NEDERLAND","OOST-NEDERLAND","Drenthe",NA,NA,1,19,1213,1206
"83","NL3","NL3","NEDERLAND","WEST-NEDERLAND","Flevoland",NA,NA,1,19,1225,1218
"84","NL4","NL4","NEDERLAND","ZUID-NEDERLAND","Zeeland",NA,NA,1,19,1246,1239
"85","NLZ","NLZ","NEDERLAND","EXTRA-REGIO NUTS 1","Limburg (NL)",NA,NA,1,19,1256,1249
"86","AT1","AT1","ÖSTERREICH","OSTÖSTERREICH","Extra-Regio NUTS 2",NA,NA,1,20,1260,1253
"87","AT2","AT2","ÖSTERREICH","SÜDÖSTERREICH","Wien",NA,NA,1,20,1275,1268
"88","AT3","AT3","ÖSTERREICH","WESTÖSTERREICH","Steiermark",NA,NA,1,20,1287,1280
"89","ATZ","ATZ","ÖSTERREICH","EXTRA-REGIO NUTS 1","Vorarlberg",NA,NA,1,20,1307,1300
"90","PL1","PL1","POLSKA","REGION CENTRALNY","Extra-Regio NUTS 2",NA,NA,1,21,1311,1304
"91","PL2","PL2","POLSKA","REGION POLUDNIOWY","Mazowieckie",NA,NA,1,21,1325,1320
"92","PL3","PL3","POLSKA","REGION WSCHODNI","Slaskie",NA,NA,1,21,1341,1337
"93","PL4","PL4","POLSKA","REGION PÓLNOCNO-ZACHODNI","Podlaskie",NA,NA,1,21,1359,1355
"94","PL5","PL5","POLSKA","REGION POLUDNIOWO-ZACHODNI","Lubuskie",NA,NA,1,21,1375,1371
"95","PL6","PL6","POLSKA","REGION PÓLNOCNY","Opolskie",NA,NA,1,21,1385,1381
"96","PLZ","PLZ","POLSKA","EXTRA-REGIO NUTS 1","Pomorskie",NA,NA,1,21,1399,1398
"97","PT1","PT1","PORTUGAL","CONTINENTE","Extra-Regio NUTS 2",NA,NA,1,22,1403,1402
"98","PT2","PT2","PORTUGAL","REGIÃO AUTÓNOMA DOS AÇORES","Alentejo",NA,NA,1,22,1437,1429
"99","PT3","PT3","PORTUGAL","REGIÃO AUTÓNOMA DA MADEIRA","Região Autónoma dos Açores",NA,NA,1,22,1440,1432
"100","PTZ","PTZ","PORTUGAL","EXTRA-REGIO NUTS 1","Região Autónoma da Madeira",NA,NA,1,22,1443,1435
"101","RO1","RO1","ROMÂNIA","MACROREGIUNEA UNU","Extra-Regio NUTS 2",NA,NA,1,23,1447,1439
"102","RO2","RO2","ROMÂNIA","MACROREGIUNEA DOI","Centru",NA,NA,1,23,1462,1454
"103","RO3","RO3","ROMÂNIA","MACROREGIUNEA TREI","Sud-Est",NA,NA,1,23,1477,1469
"104","RO4","RO4","`","MACROREGIUNEA PATRU","Bucuresti - Ilfov",NA,NA,1,23,1489,1481
"105","ROZ","ROZ","`","EXTRA-REGIO NUTS 1","Vest",NA,NA,1,23,1501,1493
"106","SI0","SI0","SLOVENIJA","SLOVENIJA","Extra-Regio NUTS 2",NA,NA,1,24,1505,1497
"107","SIZ","SIZ","SLOVENIJA","EXTRA-REGIO NUTS 1","Zahodna Slovenija",NA,NA,1,24,1520,1512
"108","SK0","SK0","SLOVENSKO","SLOVENSKO","Extra-Regio NUTS 2",NA,NA,1,25,1524,1516
"109","SKZ","SKZ","SLOVENSKO","EXTRA-REGIO NUTS 1","Východné Slovensko",NA,NA,1,25,1537,1529
"110","FI1","FI1","SUOMI / FINLAND","MANNER-SUOMI","Extra-Regio NUTS 2",NA,NA,1,26,1541,1533
"111","FI2","FI2","SUOMI / FINLAND","ÅLAND","Pohjois- ja Itä-Suomi",NA,NA,1,26,1564,1556
"112","FIZ","FIZ","SUOMI / FINLAND","EXTRA-REGIO NUTS 1","Åland",NA,NA,1,26,1567,1559
"113","SE1","SE1","SVERIGE","ÖSTRA SVERIGE","Extra-Regio NUTS 2",NA,NA,1,27,1571,1563
"114","SE2","SE2","SVERIGE","SÖDRA SVERIGE","Östra Mellansverige",NA,NA,1,27,1580,1572
"115","SE3","SE3","SVERIGE","NORRA SVERIGE","Västsverige",NA,NA,1,27,1592,1584
"116","SEZ","SEZ","SVERIGE","EXTRA-REGIO NUTS 1","Övre Norrland",NA,NA,1,27,1603,1595
"117","UKC","UKC","UNITED KINGDOM","NORTH EAST (ENGLAND)","Extra-Regio NUTS 2",NA,NA,1,28,1607,1599
"118","UKD","UKD","UNITED KINGDOM","NORTH WEST (ENGLAND)","Northumberland and Tyne and Wear",NA,NA,1,28,1617,1609
"119","UKE","UKE","UNITED KINGDOM","YORKSHIRE AND THE HUMBER","Merseyside",NA,NA,1,28,1637,1635
"120","UKF","UKF","UNITED KINGDOM","EAST MIDLANDS (ENGLAND)","West Yorkshire",NA,NA,1,28,1653,1651
"121","UKG","UKG","UNITED KINGDOM","WEST MIDLANDS (ENGLAND)","Lincolnshire",NA,NA,1,28,1668,1666
"122","UKH","UKH","UNITED KINGDOM","EAST OF ENGLAND","West Midlands",NA,NA,1,28,1686,1684
"123","UKI","UKI","UNITED KINGDOM","LONDON","Essex",NA,NA,1,28,1701,1704
"124","UKJ","UKJ","UNITED KINGDOM","SOUTH EAST (ENGLAND)","Outer London - West and North West",NA,NA,1,28,1709,1731
"125","UKK","UKK","UNITED KINGDOM","SOUTH WEST (ENGLAND)","Kent",NA,NA,1,28,1728,1757
"126","UKL","UKL","UNITED KINGDOM","WALES","Devon",NA,NA,1,28,1745,1774
"127","UKM","UKM","UNITED KINGDOM","SCOTLAND","East Wales",NA,NA,1,28,1760,1789
"128","UKN","UKN","UNITED KINGDOM","NORTHERN IRELAND","Highlands and Islands",NA,NA,1,28,1788,1817
"129","UKZ","UKZ","UNITED KINGDOM","EXTRA-REGIO NUTS 1","Northern Ireland",NA,NA,1,28,1795,1824
